# A b Om H0
1.524092937088361577e+00 2.622580320773727536e+01 1.223204703466015536e-01 7.011114853990228823e+01
1.482874793576936190e+00 2.583621747960144788e+01 1.259109584085418010e-01 7.001269606674247825e+01
1.644377763623543265e+00 2.629502180968480829e+01 1.275839263576969973e-01 6.943159600040821999e+01
1.435005032380197054e+00 2.633127849430460898e+01 1.271709426771537865e-01 7.012307246587494092e+01
1.515319925620718822e+00 2.614310321950317473e+01 1.228849118316973077e-01 6.991277768289634764e+01
1.595291527131366571e+00 2.674386416256196597e+01 1.240743460799007408e-01 6.975823799207064724e+01
1.522723791025132112e+00 2.662939229721871470e+01 1.237823628624715872e-01 7.009207916745469902e+01
1.602113457308516953e+00 2.617742230050896524e+01 1.273701332142314069e-01 6.967861147069605465e+01
1.445347825525377106e+00 2.618426525816951411e+01 1.231793658351343912e-01 7.016034188673830840e+01
1.696878739033889083e+00 2.627851606034698051e+01 1.233163618481412926e-01 6.955538880706428984e+01
1.572986796641788310e+00 2.622225120125481368e+01 1.219058464030633032e-01 6.991874653171372245e+01
1.744977969104763549e+00 2.680423546010060321e+01 1.250051402087779540e-01 6.960449255445995220e+01
1.611386997326989867e+00 2.620625554534263912e+01 1.210291402831831231e-01 6.994810139840076602e+01
1.529589043402427073e+00 2.633299164300156292e+01 1.248371589517353192e-01 6.997714096530404504e+01
1.376032205366244598e+00 2.642672258379781169e+01 1.298976070209205136e-01 7.009700607612040812e+01
1.418070020840370926e+00 2.627617953919586924e+01 1.269810226573424017e-01 7.021265677912916203e+01
1.571015440637228089e+00 2.646016597335843556e+01 1.242604383545826419e-01 6.993478862535782525e+01
1.531847315706525325e+00 2.631887161816320031e+01 1.253970302405138793e-01 7.000362140823114032e+01
1.317535695360848580e+00 2.604934808819061942e+01 1.248919143871229376e-01 7.042424320312564134e+01
1.607532468812099546e+00 2.608670256305526891e+01 1.228213015015419546e-01 6.979226776848653913e+01
1.502956185275445167e+00 2.623891021119845490e+01 1.209524524140010576e-01 7.022832833639557748e+01
1.482874793576936190e+00 2.583621747960144788e+01 1.259109584085418010e-01 7.001269606674247825e+01
1.644377763623543265e+00 2.629502180968480829e+01 1.275839263576969973e-01 6.943159600040821999e+01
1.429572299964393611e+00 2.634584236863975448e+01 1.272444583763553960e-01 7.013661409981396844e+01
1.534148125951018127e+00 2.625028817048340457e+01 1.233499167593804097e-01 6.992021861299637919e+01
1.595291527131366571e+00 2.674386416256196597e+01 1.240743460799007408e-01 6.975823799207064724e+01
1.522723791025132112e+00 2.662939229721871470e+01 1.237823628624715872e-01 7.009207916745469902e+01
1.600076907464763831e+00 2.619593864477780798e+01 1.271664852244744071e-01 6.969538802432049351e+01
1.445347825525377106e+00 2.618426525816951411e+01 1.231793658351343912e-01 7.016034188673830840e+01
1.664750607872860888e+00 2.627195435882477170e+01 1.229247210055425948e-01 6.966687810546083881e+01
1.636925821806709758e+00 2.626552858953722591e+01 1.211584380927464982e-01 6.979222147767355011e+01
1.721129308499369959e+00 2.678547416937134784e+01 1.248739318680394672e-01 6.965681232522655364e+01
1.719250310262074866e+00 2.617377178564966300e+01 1.211054267876868207e-01 6.966934109647287698e+01
1.529572235747266529e+00 2.633291168764410983e+01 1.248381894304584488e-01 6.997719692744111342e+01
1.447061582242036293e+00 2.632253115830119938e+01 1.282152962026615883e-01 6.997470769490496423e+01
1.416109127894331188e+00 2.628278689148782021e+01 1.272543086542184398e-01 7.021641748878474232e+01
1.593287755833211694e+00 2.658695753976513387e+01 1.248105034768650368e-01 6.994359067428614196e+01
1.510221818011816097e+00 2.624086020561904675e+01 1.260245651366192488e-01 7.004162535123276712e+01
1.317535695360848580e+00 2.604934808819061942e+01 1.248919143871229376e-01 7.042424320312564134e+01
1.645873743336536021e+00 2.603089798648383990e+01 1.235064860719520680e-01 6.963239291562258870e+01
