# A b Om H0
1.436536962105338988e+00 2.677104038016624799e+01 2.661910049249094912e-01 7.005002509267771416e+01
1.515261017104217567e+00 2.732858364531226769e+01 2.658173727267821862e-01 7.017970196250711012e+01
1.499045379665238320e+00 2.742517833031240571e+01 2.622694367470552734e-01 7.008149881728479613e+01
1.428562774307629901e+00 2.663171528428996737e+01 2.714371765488573507e-01 7.000468596479642258e+01
1.517521831421612788e+00 2.875807991747397452e+01 2.680973455504580549e-01 7.031357978392176733e+01
1.634068975043770688e+00 2.754310909758201831e+01 2.678739603629183841e-01 6.980830572011632285e+01
1.281839059199655795e+00 2.823982977073643141e+01 2.734056031214631699e-01 7.064551192565427584e+01
1.280606259121402690e+00 2.676391904396267307e+01 2.717360691955251206e-01 7.034471418422900513e+01
1.625920185100502291e+00 2.787600748666672601e+01 2.641250986052178229e-01 6.993586154098539964e+01
1.390850479327367273e+00 2.669047239667675342e+01 2.665324636312045858e-01 7.011690641673921220e+01
1.784963435312094449e+00 2.708512027854850501e+01 2.601814379326859994e-01 6.966349867927267780e+01
1.489389846610033930e+00 2.848855407929868022e+01 2.790755461201178123e-01 6.989503032744742939e+01
1.149954230824587587e+00 2.615961932733459960e+01 2.778248756111052487e-01 7.055484874159223807e+01
1.432113267816647273e+00 2.637697863700994816e+01 2.735882081290787471e-01 7.020867222477525615e+01
1.418836446553318975e+00 2.748894538355563455e+01 2.794884370937457674e-01 7.014926521344079902e+01
1.707451962109617138e+00 2.741480561376850389e+01 2.612650353130093750e-01 6.955300980515042397e+01
1.429128085241001545e+00 2.666205065232546545e+01 2.661667163976875750e-01 7.004110930721121520e+01
1.515261017104217567e+00 2.732858364531226769e+01 2.658173727267821862e-01 7.017970196250711012e+01
1.386126114616114569e+00 2.754263335220564457e+01 2.630161712751378222e-01 7.024546642092873583e+01
1.428562774307629901e+00 2.663171528428996737e+01 2.714371765488573507e-01 7.000468596479642258e+01
1.506467729339871386e+00 2.882782730840868624e+01 2.684267759810170517e-01 7.034078504304949320e+01
1.634068975043770688e+00 2.754310909758201831e+01 2.678739603629183841e-01 6.980830572011632285e+01
1.281839059199655795e+00 2.823982977073643141e+01 2.734056031214631699e-01 7.064551192565427584e+01
1.280606259121402690e+00 2.676391904396267307e+01 2.717360691955251206e-01 7.034471418422900513e+01
1.500946808797694043e+00 2.849747268271710254e+01 2.672239574916100979e-01 7.014987946606206037e+01
1.487729533355132361e+00 2.690396074904937151e+01 2.619910969760407826e-01 6.994078313373178446e+01
1.774116905484568685e+00 2.713905769294144577e+01 2.604503901394432663e-01 6.968207344996899621e+01
1.489389846610033930e+00 2.848855407929868022e+01 2.790755461201178123e-01 6.989503032744742939e+01
1.147214379486668490e+00 2.614694680009800720e+01 2.779525615308841568e-01 7.055925538920146778e+01
1.433789822611165610e+00 2.623656301015991588e+01 2.728431459667379211e-01 7.021617395336716072e+01
1.423009571534726847e+00 2.712114692637587510e+01 2.760340072862775829e-01 7.008723283189334552e+01
1.707451962109617138e+00 2.741480561376850389e+01 2.612650353130093750e-01 6.955300980515042397e+01
1.429128085241001545e+00 2.666205065232546545e+01 2.661667163976875750e-01 7.004110930721121520e+01
1.646123981723886409e+00 2.764348748269281231e+01 2.625166164444808770e-01 7.008767745501944546e+01
1.386126114616114569e+00 2.754263335220564457e+01 2.630161712751378222e-01 7.024546642092873583e+01
1.428562774307629901e+00 2.663171528428996737e+01 2.714371765488573507e-01 7.000468596479642258e+01
1.506467729339871386e+00 2.882782730840868624e+01 2.684267759810170517e-01 7.034078504304949320e+01
1.636008945774435785e+00 2.741892527566495730e+01 2.689438994976349750e-01 6.979148014243244802e+01
1.289622456161572339e+00 2.818779496676022234e+01 2.726301945921322800e-01 7.061565478802894802e+01
